"Year","Year Calc","Number of Records","Online Hotel Revenue","Travel Agents"
2000, 01/01/2000 00:00:00,	1,	"$14B",	"$123K"
2001, 01/01/2001 00:00:00,	1,	"$21B",	"$111K"
2002,	01/01/2002 00:00:00,	1,	"$28B",	"$104K"
2003,	01/01/2003 00:00:00,	1,	"$41B",	"$103K"
2004,	01/01/2004 00:00:00,	1,	"$52B",	"$90K"
2005,	01/01/2005 00:00:00,	1,	"$64B",	"$89K"
2006,	01/01/2006 00:00:00,	1,	"$80B",	"$88K"
2007,	01/01/2007 00:00:00,	1,	"$90B",	"$85K"
2008,	01/01/2008 00:00:00,	1,	"$95B",	"$86K"
2009,	01/01/2009 00:00:00,	1,	"$90B",	"$77K"
2010,	01/01/2010 00:00:00,	1,	"$100B",	"$71K"
2011,	01/01/2011 00:00:00,	1,	"$117B",	"$67K"
2012,	01/01/2012 00:00:00,	1,	"$125B",	"$64K"
2013,	01/01/2013 00:00:00,	1,	"$143B",	"$64K"
2014,	01/01/2014 00:00:00,	1,	"$155B",	"$64K"
